areaCode,areaName,areaType,date,VaccineRegisterPopulationByVaccinationDate
E06000042,Milton Keynes,utla,2021-07-17,237971
E06000042,Milton Keynes,utla,2021-07-16,237971
E06000042,Milton Keynes,utla,2021-07-15,237971
E06000042,Milton Keynes,utla,2021-07-14,237971
E06000042,Milton Keynes,utla,2021-07-13,237971
E06000042,Milton Keynes,utla,2021-07-12,237971
E06000042,Milton Keynes,utla,2021-07-11,237971
E06000042,Milton Keynes,utla,2021-07-10,237971
E06000042,Milton Keynes,utla,2021-07-09,237971
E06000042,Milton Keynes,utla,2021-07-08,237971
E06000042,Milton Keynes,utla,2021-07-07,237971
E06000042,Milton Keynes,utla,2021-07-06,237971
E06000042,Milton Keynes,utla,2021-07-05,237971
E06000042,Milton Keynes,utla,2021-07-04,237971
E06000042,Milton Keynes,utla,2021-07-03,237971
E06000042,Milton Keynes,utla,2021-07-02,237971
E06000042,Milton Keynes,utla,2021-07-01,237971
E06000042,Milton Keynes,utla,2021-06-30,237971
E06000042,Milton Keynes,utla,2021-06-29,237971
E06000042,Milton Keynes,utla,2021-06-28,237971
E06000042,Milton Keynes,utla,2021-06-27,237971
E06000042,Milton Keynes,utla,2021-06-26,237971
E06000042,Milton Keynes,utla,2021-06-25,237971
E06000042,Milton Keynes,utla,2021-06-24,237971
E06000042,Milton Keynes,utla,2021-06-23,237971
E06000042,Milton Keynes,utla,2021-06-22,237971
E06000042,Milton Keynes,utla,2021-06-21,237971
E06000042,Milton Keynes,utla,2021-06-20,237971
E06000042,Milton Keynes,utla,2021-06-19,237971
E06000042,Milton Keynes,utla,2021-06-18,237971
E06000042,Milton Keynes,utla,2021-06-17,237971
E06000042,Milton Keynes,utla,2021-06-16,237971
E06000042,Milton Keynes,utla,2021-06-15,237971
E06000042,Milton Keynes,utla,2021-06-14,237971
E06000042,Milton Keynes,utla,2021-06-13,237971
E06000042,Milton Keynes,utla,2021-06-12,237971
E06000042,Milton Keynes,utla,2021-06-11,237971
E06000042,Milton Keynes,utla,2021-06-10,237971
E06000042,Milton Keynes,utla,2021-06-09,237971
E06000042,Milton Keynes,utla,2021-06-08,237971
E06000042,Milton Keynes,utla,2021-06-07,237971
E06000042,Milton Keynes,utla,2021-06-06,237971
E06000042,Milton Keynes,utla,2021-06-05,237971
E06000042,Milton Keynes,utla,2021-06-04,237971
E06000042,Milton Keynes,utla,2021-06-03,237971
E06000042,Milton Keynes,utla,2021-06-02,237971
E06000042,Milton Keynes,utla,2021-06-01,237971
E06000042,Milton Keynes,utla,2021-05-31,237971
E06000042,Milton Keynes,utla,2021-05-30,237971
E06000042,Milton Keynes,utla,2021-05-29,237971
E06000042,Milton Keynes,utla,2021-05-28,237971
E06000042,Milton Keynes,utla,2021-05-27,237971
E06000042,Milton Keynes,utla,2021-05-26,237971
E06000042,Milton Keynes,utla,2021-05-25,237971
E06000042,Milton Keynes,utla,2021-05-24,237971
E06000042,Milton Keynes,utla,2021-05-23,237971
E06000042,Milton Keynes,utla,2021-05-22,237971
E06000042,Milton Keynes,utla,2021-05-21,237971
E06000042,Milton Keynes,utla,2021-05-20,237971
E06000042,Milton Keynes,utla,2021-05-19,237971
E06000042,Milton Keynes,utla,2021-05-18,237971
E06000042,Milton Keynes,utla,2021-05-17,237971
E06000042,Milton Keynes,utla,2021-05-16,237971
E06000042,Milton Keynes,utla,2021-05-15,237971
E06000042,Milton Keynes,utla,2021-05-14,237971
E06000042,Milton Keynes,utla,2021-05-13,237971
E06000042,Milton Keynes,utla,2021-05-12,237971
E06000042,Milton Keynes,utla,2021-05-11,237971
E06000042,Milton Keynes,utla,2021-05-10,237971
E06000042,Milton Keynes,utla,2021-05-09,237971
E06000042,Milton Keynes,utla,2021-05-08,237971
E06000042,Milton Keynes,utla,2021-05-07,237971
E06000042,Milton Keynes,utla,2021-05-06,237971
E06000042,Milton Keynes,utla,2021-05-05,237971
E06000042,Milton Keynes,utla,2021-05-04,237971
E06000042,Milton Keynes,utla,2021-05-03,237971
E06000042,Milton Keynes,utla,2021-05-02,237971
E06000042,Milton Keynes,utla,2021-05-01,237971
E06000042,Milton Keynes,utla,2021-04-30,237971
E06000042,Milton Keynes,utla,2021-04-29,237971
E06000042,Milton Keynes,utla,2021-04-28,237971
E06000042,Milton Keynes,utla,2021-04-27,237971
E06000042,Milton Keynes,utla,2021-04-26,237971
E06000042,Milton Keynes,utla,2021-04-25,237971
E06000042,Milton Keynes,utla,2021-04-24,237971
E06000042,Milton Keynes,utla,2021-04-23,237971
E06000042,Milton Keynes,utla,2021-04-22,237971
E06000042,Milton Keynes,utla,2021-04-21,237971
E06000042,Milton Keynes,utla,2021-04-20,237971
