areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E06000042,Milton Keynes,utla,2021-07-17,181642
E06000042,Milton Keynes,utla,2021-07-16,181436
E06000042,Milton Keynes,utla,2021-07-15,181155
E06000042,Milton Keynes,utla,2021-07-14,180952
E06000042,Milton Keynes,utla,2021-07-13,180545
E06000042,Milton Keynes,utla,2021-07-12,180105
E06000042,Milton Keynes,utla,2021-07-11,179982
E06000042,Milton Keynes,utla,2021-07-10,179755
E06000042,Milton Keynes,utla,2021-07-09,179543
E06000042,Milton Keynes,utla,2021-07-08,178625
E06000042,Milton Keynes,utla,2021-07-07,178409
E06000042,Milton Keynes,utla,2021-07-06,178100
E06000042,Milton Keynes,utla,2021-07-05,177789
E06000042,Milton Keynes,utla,2021-07-04,177426
E06000042,Milton Keynes,utla,2021-07-03,177023
E06000042,Milton Keynes,utla,2021-07-02,176741
E06000042,Milton Keynes,utla,2021-07-01,176261
E06000042,Milton Keynes,utla,2021-06-30,176021
E06000042,Milton Keynes,utla,2021-06-29,175456
E06000042,Milton Keynes,utla,2021-06-28,174878
E06000042,Milton Keynes,utla,2021-06-27,174239
E06000042,Milton Keynes,utla,2021-06-26,173740
E06000042,Milton Keynes,utla,2021-06-25,172895
E06000042,Milton Keynes,utla,2021-06-24,172078
E06000042,Milton Keynes,utla,2021-06-23,170400
E06000042,Milton Keynes,utla,2021-06-22,169192
E06000042,Milton Keynes,utla,2021-06-21,167923
E06000042,Milton Keynes,utla,2021-06-20,167170
E06000042,Milton Keynes,utla,2021-06-19,166676
E06000042,Milton Keynes,utla,2021-06-18,165520
E06000042,Milton Keynes,utla,2021-06-17,164741
E06000042,Milton Keynes,utla,2021-06-16,163950
E06000042,Milton Keynes,utla,2021-06-15,163435
E06000042,Milton Keynes,utla,2021-06-14,162379
E06000042,Milton Keynes,utla,2021-06-13,161748
E06000042,Milton Keynes,utla,2021-06-12,161226
E06000042,Milton Keynes,utla,2021-06-11,160085
E06000042,Milton Keynes,utla,2021-06-10,158887
E06000042,Milton Keynes,utla,2021-06-09,157746
E06000042,Milton Keynes,utla,2021-06-08,156079
E06000042,Milton Keynes,utla,2021-06-07,155048
E06000042,Milton Keynes,utla,2021-06-06,153787
E06000042,Milton Keynes,utla,2021-06-05,152468
E06000042,Milton Keynes,utla,2021-06-04,151007
E06000042,Milton Keynes,utla,2021-06-03,150179
E06000042,Milton Keynes,utla,2021-06-02,149421
E06000042,Milton Keynes,utla,2021-06-01,148777
E06000042,Milton Keynes,utla,2021-05-31,148508
E06000042,Milton Keynes,utla,2021-05-30,148134
E06000042,Milton Keynes,utla,2021-05-29,147201
