areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E06000042,Milton Keynes,utla,2021-07-17,133279
E06000042,Milton Keynes,utla,2021-07-16,132591
E06000042,Milton Keynes,utla,2021-07-15,132095
E06000042,Milton Keynes,utla,2021-07-14,130748
E06000042,Milton Keynes,utla,2021-07-13,130223
E06000042,Milton Keynes,utla,2021-07-12,129668
E06000042,Milton Keynes,utla,2021-07-11,128863
E06000042,Milton Keynes,utla,2021-07-10,128355
E06000042,Milton Keynes,utla,2021-07-09,127188
E06000042,Milton Keynes,utla,2021-07-08,126921
E06000042,Milton Keynes,utla,2021-07-07,125409
E06000042,Milton Keynes,utla,2021-07-06,124988
E06000042,Milton Keynes,utla,2021-07-05,124772
E06000042,Milton Keynes,utla,2021-07-04,124192
E06000042,Milton Keynes,utla,2021-07-03,123647
E06000042,Milton Keynes,utla,2021-07-02,121159
E06000042,Milton Keynes,utla,2021-07-01,120480
E06000042,Milton Keynes,utla,2021-06-30,118387
E06000042,Milton Keynes,utla,2021-06-29,117901
E06000042,Milton Keynes,utla,2021-06-28,117651
E06000042,Milton Keynes,utla,2021-06-27,117187
E06000042,Milton Keynes,utla,2021-06-26,117067
E06000042,Milton Keynes,utla,2021-06-25,115724
E06000042,Milton Keynes,utla,2021-06-24,114770
E06000042,Milton Keynes,utla,2021-06-23,113856
E06000042,Milton Keynes,utla,2021-06-22,113439
E06000042,Milton Keynes,utla,2021-06-21,112937
E06000042,Milton Keynes,utla,2021-06-20,112189
E06000042,Milton Keynes,utla,2021-06-19,112167
E06000042,Milton Keynes,utla,2021-06-18,109695
E06000042,Milton Keynes,utla,2021-06-17,108579
E06000042,Milton Keynes,utla,2021-06-16,106878
E06000042,Milton Keynes,utla,2021-06-15,105618
E06000042,Milton Keynes,utla,2021-06-14,105089
E06000042,Milton Keynes,utla,2021-06-13,104656
E06000042,Milton Keynes,utla,2021-06-12,104128
E06000042,Milton Keynes,utla,2021-06-11,101925
E06000042,Milton Keynes,utla,2021-06-10,100493
E06000042,Milton Keynes,utla,2021-06-09,98017
E06000042,Milton Keynes,utla,2021-06-08,97798
E06000042,Milton Keynes,utla,2021-06-07,97212
E06000042,Milton Keynes,utla,2021-06-06,96618
