areaCode,areaName,areaType,date,newLFDTests
E06000042,Milton Keynes,utla,2021-07-17,2056
E06000042,Milton Keynes,utla,2021-07-16,2884
E06000042,Milton Keynes,utla,2021-07-15,4167
E06000042,Milton Keynes,utla,2021-07-14,4831
E06000042,Milton Keynes,utla,2021-07-13,2734
E06000042,Milton Keynes,utla,2021-07-12,4305
E06000042,Milton Keynes,utla,2021-07-11,4656
E06000042,Milton Keynes,utla,2021-07-10,1793
E06000042,Milton Keynes,utla,2021-07-09,2504
E06000042,Milton Keynes,utla,2021-07-08,3844
E06000042,Milton Keynes,utla,2021-07-07,4896
E06000042,Milton Keynes,utla,2021-07-06,2744
E06000042,Milton Keynes,utla,2021-07-05,4806
E06000042,Milton Keynes,utla,2021-07-04,5521
E06000042,Milton Keynes,utla,2021-07-03,1509
E06000042,Milton Keynes,utla,2021-07-02,2213
E06000042,Milton Keynes,utla,2021-07-01,3900
E06000042,Milton Keynes,utla,2021-06-30,5165
E06000042,Milton Keynes,utla,2021-06-29,2564
E06000042,Milton Keynes,utla,2021-06-28,4611
E06000042,Milton Keynes,utla,2021-06-27,5581
E06000042,Milton Keynes,utla,2021-06-26,1310
E06000042,Milton Keynes,utla,2021-06-25,1987
E06000042,Milton Keynes,utla,2021-06-24,3606
E06000042,Milton Keynes,utla,2021-06-23,4991
E06000042,Milton Keynes,utla,2021-06-22,2442
E06000042,Milton Keynes,utla,2021-06-21,4495
E06000042,Milton Keynes,utla,2021-06-20,5697
E06000042,Milton Keynes,utla,2021-06-19,1384
E06000042,Milton Keynes,utla,2021-06-18,2312
E06000042,Milton Keynes,utla,2021-06-17,3807
E06000042,Milton Keynes,utla,2021-06-16,4853
E06000042,Milton Keynes,utla,2021-06-15,2494
E06000042,Milton Keynes,utla,2021-06-14,4418
E06000042,Milton Keynes,utla,2021-06-13,5377
E06000042,Milton Keynes,utla,2021-06-12,1258
E06000042,Milton Keynes,utla,2021-06-11,2217
E06000042,Milton Keynes,utla,2021-06-10,3706
E06000042,Milton Keynes,utla,2021-06-09,4986
E06000042,Milton Keynes,utla,2021-06-08,2032
E06000042,Milton Keynes,utla,2021-06-07,4259
E06000042,Milton Keynes,utla,2021-06-06,6649
E06000042,Milton Keynes,utla,2021-06-05,1184
E06000042,Milton Keynes,utla,2021-06-04,1852
E06000042,Milton Keynes,utla,2021-06-03,2758
E06000042,Milton Keynes,utla,2021-06-02,3429
E06000042,Milton Keynes,utla,2021-06-01,2270
E06000042,Milton Keynes,utla,2021-05-31,2786
E06000042,Milton Keynes,utla,2021-05-30,2947
E06000042,Milton Keynes,utla,2021-05-29,1204
E06000042,Milton Keynes,utla,2021-05-28,1977
E06000042,Milton Keynes,utla,2021-05-27,3764
E06000042,Milton Keynes,utla,2021-05-26,5620
E06000042,Milton Keynes,utla,2021-05-25,2473
E06000042,Milton Keynes,utla,2021-05-24,4710
E06000042,Milton Keynes,utla,2021-05-23,6596
E06000042,Milton Keynes,utla,2021-05-22,1192
E06000042,Milton Keynes,utla,2021-05-21,2148
E06000042,Milton Keynes,utla,2021-05-20,4185
E06000042,Milton Keynes,utla,2021-05-19,5900
E06000042,Milton Keynes,utla,2021-05-18,2521
E06000042,Milton Keynes,utla,2021-05-17,4729
E06000042,Milton Keynes,utla,2021-05-16,6740
E06000042,Milton Keynes,utla,2021-05-15,1037
E06000042,Milton Keynes,utla,2021-05-14,2135
E06000042,Milton Keynes,utla,2021-05-13,4109
E06000042,Milton Keynes,utla,2021-05-12,5832
E06000042,Milton Keynes,utla,2021-05-11,2187
E06000042,Milton Keynes,utla,2021-05-10,4849
E06000042,Milton Keynes,utla,2021-05-09,7382
E06000042,Milton Keynes,utla,2021-05-08,974
E06000042,Milton Keynes,utla,2021-05-07,2057
E06000042,Milton Keynes,utla,2021-05-06,4288
E06000042,Milton Keynes,utla,2021-05-05,5925
E06000042,Milton Keynes,utla,2021-05-04,3576
E06000042,Milton Keynes,utla,2021-05-03,5700
E06000042,Milton Keynes,utla,2021-05-02,4355
E06000042,Milton Keynes,utla,2021-05-01,990
E06000042,Milton Keynes,utla,2021-04-30,2129
E06000042,Milton Keynes,utla,2021-04-29,4518
E06000042,Milton Keynes,utla,2021-04-28,7008
E06000042,Milton Keynes,utla,2021-04-27,2578
E06000042,Milton Keynes,utla,2021-04-26,5468
E06000042,Milton Keynes,utla,2021-04-25,8605
