areaCode,areaName,areaType,date,age,VaccineRegisterPopulationByVaccinationDate,cumPeopleVaccinatedCompleteByVaccinationDate,newPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationCompleteCoverageByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage
E06000042,Milton Keynes,utla,2021-07-17,18_24,23000.0,3238.0,17.0,13497.0,63.0,3238.0,17.0,58.7,14.1,14.1
E06000042,Milton Keynes,utla,2021-07-17,25_29,20763.0,3507.0,25.0,12385.0,45.0,3507.0,25.0,59.6,16.9,16.9
E06000042,Milton Keynes,utla,2021-07-17,30_34,25094.0,5372.0,44.0,15629.0,23.0,5372.0,44.0,62.3,21.4,21.4
E06000042,Milton Keynes,utla,2021-07-17,35_39,26194.0,8399.0,215.0,17985.0,33.0,8399.0,215.0,68.7,32.1,32.1
E06000042,Milton Keynes,utla,2021-07-17,40_44,25223.0,14397.0,281.0,18816.0,21.0,14397.0,281.0,74.6,57.1,57.1
E06000042,Milton Keynes,utla,2021-07-17,45_49,22233.0,15602.0,77.0,17766.0,9.0,15602.0,77.0,79.9,70.2,70.2
E06000042,Milton Keynes,utla,2021-07-17,50_54,20906.0,16676.0,14.0,17696.0,8.0,16676.0,14.0,84.7,79.8,79.8
E06000042,Milton Keynes,utla,2021-07-17,55_59,18383.0,15342.0,8.0,16018.0,1.0,15342.0,8.0,87.1,83.5,83.5
E06000042,Milton Keynes,utla,2021-07-17,60_64,15469.0,13286.0,3.0,13810.0,2.0,13286.0,3.0,89.3,85.9,85.9
E06000042,Milton Keynes,utla,2021-07-17,65_69,12830.0,11484.0,0.0,11717.0,1.0,11484.0,0.0,91.3,89.5,89.5
E06000042,Milton Keynes,utla,2021-07-17,70_74,11525.0,10703.0,2.0,10846.0,0.0,10703.0,2.0,94.1,92.9,92.9
E06000042,Milton Keynes,utla,2021-07-17,75_79,7410.0,6931.0,1.0,7005.0,0.0,6931.0,1.0,94.5,93.5,93.5
E06000042,Milton Keynes,utla,2021-07-17,80_84,4710.0,4399.0,1.0,4461.0,0.0,4399.0,1.0,94.7,93.4,93.4
E06000042,Milton Keynes,utla,2021-07-17,85_89,2637.0,2471.0,0.0,2517.0,0.0,2471.0,0.0,95.5,93.7,93.7
E06000042,Milton Keynes,utla,2021-07-17,90+,1594.0,1472.0,0.0,1494.0,0.0,1472.0,0.0,93.7,92.3,92.3
E06000042,Milton Keynes,utla,2021-07-16,18_24,23000.0,3221.0,11.0,13434.0,94.0,3221.0,11.0,58.4,14.0,14.0
E06000042,Milton Keynes,utla,2021-07-16,25_29,20763.0,3482.0,20.0,12340.0,52.0,3482.0,20.0,59.4,16.8,16.8
E06000042,Milton Keynes,utla,2021-07-16,30_34,25094.0,5328.0,30.0,15606.0,44.0,5328.0,30.0,62.2,21.2,21.2
E06000042,Milton Keynes,utla,2021-07-16,35_39,26194.0,8184.0,107.0,17952.0,36.0,8184.0,107.0,68.5,31.2,31.2
E06000042,Milton Keynes,utla,2021-07-16,40_44,25223.0,14116.0,208.0,18795.0,27.0,14116.0,208.0,74.5,56.0,56.0
E06000042,Milton Keynes,utla,2021-07-16,45_49,22233.0,15525.0,90.0,17757.0,9.0,15525.0,90.0,79.9,69.8,69.8
E06000042,Milton Keynes,utla,2021-07-16,50_54,20906.0,16662.0,11.0,17688.0,9.0,16662.0,11.0,84.6,79.7,79.7
E06000042,Milton Keynes,utla,2021-07-16,55_59,18383.0,15334.0,8.0,16017.0,6.0,15334.0,8.0,87.1,83.4,83.4
E06000042,Milton Keynes,utla,2021-07-16,60_64,15469.0,13283.0,8.0,13808.0,2.0,13283.0,8.0,89.3,85.9,85.9
E06000042,Milton Keynes,utla,2021-07-16,65_69,12830.0,11484.0,1.0,11716.0,1.0,11484.0,1.0,91.3,89.5,89.5
E06000042,Milton Keynes,utla,2021-07-16,70_74,11525.0,10701.0,0.0,10846.0,0.0,10701.0,0.0,94.1,92.8,92.8
E06000042,Milton Keynes,utla,2021-07-16,75_79,7410.0,6930.0,1.0,7005.0,0.0,6930.0,1.0,94.5,93.5,93.5
E06000042,Milton Keynes,utla,2021-07-16,80_84,4710.0,4398.0,0.0,4461.0,1.0,4398.0,0.0,94.7,93.4,93.4
E06000042,Milton Keynes,utla,2021-07-16,85_89,2637.0,2471.0,0.0,2517.0,0.0,2471.0,0.0,95.5,93.7,93.7
E06000042,Milton Keynes,utla,2021-07-16,90+,1594.0,1472.0,1.0,1494.0,0.0,1472.0,1.0,93.7,92.3,92.3
E06000042,Milton Keynes,utla,2021-07-15,18_24,23000.0,3210.0,97.0,13340.0,60.0,3210.0,97.0,58.0,14.0,14.0
E06000042,Milton Keynes,utla,2021-07-15,25_29,20763.0,3462.0,87.0,12288.0,43.0,3462.0,87.0,59.2,16.7,16.7
E06000042,Milton Keynes,utla,2021-07-15,30_34,25094.0,5298.0,215.0,15562.0,32.0,5298.0,215.0,62.0,21.1,21.1
